fullVisitorId,signup_date
0295529095183656386,2017-06-05
1597533823003930330,2017-06-05
0038889604000549342,2017-04-26
7255420520000236213,2017-06-05
538119664933844943,2017-06-06
7545115701602510371,2017-06-06
1033314434457832898,2017-04-28
4006107369018272328,2017-06-05
0085076042671539152,2017-05-25
4177916265915368824,2017-06-02
9259501149762910847,2017-06-05
6938462068474709393,2017-06-05
753986145272434953,2017-06-06
6024228830426714310,2017-06-05
4051701808714725757,2017-06-05
754817776951835039,2017-06-05
8910272712497361152,2017-06-05
6909639378418714239,2017-06-06
9337552309976693305,2017-06-06
9715654731051243375,2017-06-05
4654050933587610363,2017-06-05
2290939476106340276,2017-06-05
8619345346577697770,2017-06-06
7431204578078049878,2017-06-05
5508098181914965101,2017-06-05
9383707158552634978,2017-06-06
7712406838787503628,2017-06-05
1955963660700441737,2017-06-05
7205105039537790991,2017-06-05
6314923647488160096,2017-06-06
4248574605319807572,2017-06-06
0085933027662670180,2017-06-05
2951874759644120310,2017-06-05
2021714064882615188,2017-06-05
6235617132232572568,2017-05-30
9263606405239341101,2017-06-06
083303597946407228,2017-06-06
9367516854209828266,2017-06-05
8565024306071858870,2017-06-05
7332152441666326910,2017-06-05
0170853116031709671,2017-06-06
117813865812489947,2017-06-05
1619200781385311033,2017-06-05
0067248411134962453,2017-06-05
6687994858432939472,2017-06-05
4814669899305186393,2017-06-05
5492359113911204760,2017-06-06
4062079749766355893,2017-06-06
7202313845037511424,2017-06-05
4050264175681470934,2017-06-05
624571979365999770,2017-06-05
4649753996022733454,2017-06-05
8376167195592291741,2017-06-05
0231171034531742125,2017-05-16
0626864902139314629,2017-06-06
5696705199403132974,2017-06-05
714891578328635297,2017-06-05
5288376584339049671,2017-06-06
6777511412759884969,2017-06-05
1111440767210519172,2017-06-05
6442427203788100587,2017-06-05
4877856974954205767,2017-06-06
6404614194766697184,2017-06-06
7145466615535106062,2017-06-05
876312843989389824,2017-05-31
2637538423346581082,2017-06-06
0418736551789234905,2017-06-06
2351579628943431547,2017-04-03
0724385779658711752,2017-04-03
4040387689813613116,2017-04-04
8672998961218492943,2017-04-04
0685829269262225053,2017-04-03
7961217783856092385,2017-04-03
4875552827274941974,2017-04-04
7703848284631024361,2017-04-03
2090807409127914729,2017-04-03
2674014903160129118,2017-04-03
6851230772005121164,2017-04-03
5209152471414964618,2017-04-03
2848565421691662681,2017-04-03
6357122634949086807,2017-04-03
4528949642639688754,2017-04-03
9799332556787927607,2017-04-03
906687393135156473,2017-04-03
1733412727783853305,2017-04-03
8613705224185832558,2017-04-03
2381609432555975834,2017-04-04
3676643356640940429,2017-04-03
8824748016069042611,2017-02-17
4248849955066030654,2017-03-07
9013398897531908839,2017-04-03
0165209019546845329,2017-04-03
3903935020057911339,2017-04-03
3877427502241175039,2017-04-03
2699975795986157754,2017-04-03
146019575666637263,2017-04-03
1041258639041735190,2017-04-03
1645298850597502799,2017-04-03
2650647265728998531,2017-04-03
2358098167076920266,2017-04-04
304742431024896720,2017-04-03
8719779673594360494,2017-04-03
5367685727482312237,2017-04-03
8640406125312115863,2017-04-03
3842370906796265425,2017-04-03
1913661582967804438,2017-04-03
0579956943293768960,2017-04-03
5751050279644747429,2017-01-23
024310809780980657,2017-04-03
9733837424648864916,2017-04-03
4136406720520440153,2017-04-03
1679597581582922167,2017-04-03
7852565438872669582,2017-04-04
6495042649205916948,2017-04-03
6358952858356024290,2017-03-28
2586925194515411271,2017-04-04
1296455446166667196,2017-04-03
8678629954399986189,2017-03-27
6721198272146821623,2017-04-03
9439561705784020669,2017-04-03
894105582721743324,2017-04-03
7553690836239367194,2017-03-24
3168623602976316898,2017-04-04
5255602189841169559,2017-04-03
2525423162689542279,2017-04-03
6189230237728007226,2017-04-03
9179035765574816794,2017-04-03
2608815716206975581,2017-04-03
2396128444708266231,2017-04-07
0525056951168537128,2017-04-07
6131074198041697800,2017-04-06
2733306606594175740,2017-03-08
7771489909403349120,2017-04-06
4192481560457338601,2017-04-06
1963135661895867197,2017-04-06
2810015090066023325,2017-04-06
0771854205732738180,2017-04-07
5891084614087329299,2017-04-06
1308667755075211402,2017-04-07
0978552376294606562,2017-03-28
3346374686684635059,2017-04-06
5228399406260804599,2017-04-07
6885440822380496184,2017-04-06
8214285380736301842,2017-04-06
8540986729842914760,2017-04-06
0801476987466798945,2017-04-05
7890373425723407763,2016-11-02
9814421808356841121,2017-04-06
1436098724039699248,2017-04-06
2185327368123213890,2017-04-06
5400065526041796403,2017-04-06
1404725756473844073,2017-04-07
1779474349845671389,2017-04-06
4930055071080101797,2017-04-06
9174382272892960835,2017-04-03
5522194668493509105,2016-10-11
1674929222423475446,2017-04-06
9078774710470122670,2017-04-06
1535799876031681396,2017-04-06
5924224766152100017,2017-04-06
1795308485128374242,2017-04-07
8456367562440240862,2017-04-06
9538523693036888128,2017-03-16
6814389496894055792,2017-04-05
2632010893059261826,2017-03-29
4523558411386265891,2017-04-06
7277340272351070917,2017-04-06
4237040653823891350,2017-04-05
5418879524729998284,2017-04-04
9326824382868735178,2017-03-16
7724206752328632669,2017-04-06
8782929873943810126,2017-04-06
4255382009542287683,2017-04-06
323525182116132882,2017-04-06
5791316838585236798,2017-04-06
1481805595016234869,2017-04-06
76363765402642215,2017-04-06
2540383924461028263,2016-11-23
7231451328898783984,2017-04-06
6414907911020565126,2017-04-06
3931258451528722427,2017-04-06
6374427025009543253,2017-03-01
1743155251611522198,2017-04-06
